	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
CN,NZ,PK,TR																																										
CN,NZ,PL																																				22						
CN,NZ,RU																																								14		
CN,NZ,SG																			12																	11				24	1	
CN,NZ,SG,US																														1												
CN,NZ,US																																			10	15				14	34	30
CN,None																				11																						
CN,OM																																							3			
CN,OM,PK																																								9		65
CN,OM,PK,SA																																									20	
CN,OM,PK,ZA																																						1				
CN,PA,US																																			6			10				
CN,PH																														4										2	19	
CN,PH,US																																						9	2			
CN,PK																					1	7	3			1	12	2	6	11	6	40		13	8	22	141	67	77	187	140	206
CN,PK,PL																																										5
CN,PK,RO																																										2
CN,PK,RO,SA																																										12
CN,PK,SA																										2									16		5	41	1	19	8	81
CN,PK,SA,TN																																									2	
CN,PK,SA,TR																																								1		
CN,PK,SA,US																																										8
CN,PK,TJ,US,UZ																																					1					
CN,PK,TR																																						11				
CN,PK,TR,US																																										11
CN,PK,US																																						28	11		8	3
CN,PK,US,ZA																																									1	
CN,PK,VN																																										
CN,PK,ZA																													7													
CN,PL									12				25			1		8	1					6				10		2	14	27	27	19	20	70	44	44	128	142	111	21
CN,PL,RS																							1																			
CN,PL,RU																																2		3			7					2
CN,PL,SK																									27																	
CN,PL,TW																																					1					
CN,PL,UA																																						7				6
CN,PL,US																								18								5	6	1		3	13	8		34	44	69
CN,PR						1											6														1		7	10			5	1	2	1	1	
CN,PR,US																														1												
CN,PT																			1				1	15		8	1	1	14		55	35	13	16	31	53	75	122	41	61	49	72
CN,PT,RU																																								4		
CN,PT,TN																																									4	
CN,PT,US																										1																
CN,QA																																								5		
CN,QA,RU																																										
CN,QA,SA																																				1	2					
CN,QA,TR,UZ																																									1	
CN,QA,US																																						6				
CN,RO																5										4				1			4	4	6	7		9	18	2	6	17
CN,RO,RU																																							8			
CN,RO,SA,TN,US																																										1
CN,RO,SE,UA																																										2
CN,RO,US																													30	31												
CN,RS	6																			7										2	8		2		12		123	42	22	1		11
CN,RS,SI																																	3						5			
CN,RS,US																																	9						1			
CN,RU					2	13							16		1			2	16	6	15		23			11	12	29	61	90	104	151	82	170	233	192	194	390	303	568	407	454
CN,RU,SA																																										14
CN,RU,SA,TR																																									3	
CN,RU,SE								4	5																			4							3					2		
CN,RU,TR																																									7	
CN,RU,TW																																			11	1	21	7	18		1	
CN,RU,TW,US																																							6			
CN,RU,US																	7																2		17	10	31	2	1	5	4	
CN,RU,UZ																																							1			
CN,RU,ZA																																								25		
CN,RW																																									1	
CN,SA		1																							1						5	118	139	84	199	144	204	215	291	177	311	218
CN,SA,SD																																										1
CN,SA,SE																																		6								
CN,SA,SE,US																																									1	
CN,SA,SG																														7	225	32	1	52		67	151			123		11
CN,SA,SG,US																																								5		
CN,SA,SI																																								1		
CN,SA,TW																																								2	4	
CN,SA,TW,US																																									5	
CN,SA,US																														2		6		4	8	1	14	13	19	16	17	
CN,SA,ZA																																				1						
CN,SA,null																																						11				
CN,SD																																							14		10	
CN,SE					1	3		7		2					17	2	17	7	3	4	4	13	4	11	18	16	89	31	53	74	83	242	143	187	141	86	226	209	477	355	476	327
CN,SE,SG																													1			1					8			3	2	
CN,SE,TH																																		23								
CN,SE,US																								6					3					59	7	2	44	47	2	75	15	
CN,SE,null																													8													
CN,SG										20	3		2	18		17	15	18	11	21	8	20	52	15	59	78	67	152	162	253	805	856	847	704	1224	1640	1198	1266	1374	2427	1827	1689
CN,SG,TH																														2												
CN,SG,TW															1	4								7										6			3		1	2		
CN,SG,TW,US																																			2				5			
CN,SG,UA																													2													
CN,SG,US																12								3	4			12	18	4	7	79	22	8	34	14		66	79	72	26	87
CN,SG,null																				1								19				50										
CN,SI					2							15			8									1							10	20			4	4	32	13	1	15	2	35
CN,SK						1				1																			5												37	
CN,TH																					2							4	40				3	7	10	78	18	88	32	144	204	213
CN,TH,US																																							42	2		
CN,TJ																																									18	
CN,TJ,US																																						1	2			
CN,TJ,US,UZ																																						2				
CN,TN																																				3	1					1
CN,TR																4					4	2	9				9			3			1	14	17	10		8	19	2	6	10
CN,TR,US																																								2		5
CN,TT,US																											2															
CN,TW						9		4	7	25	23		28	4	36	74	19	22	45	57	5	13	54	30	110	38	48	115	80	123	137	207	104	174	196	98	246	231	659	531	270	292
CN,TW,US																									10		2	12		8	23	21	37	40	96	12	18	66	242	66	20	58
CN,TW,US,null																														12												
CN,TW,VN																																2								3		
CN,TW,null																													14													
CN,UA																													2					16	19			69		39	2	
CN,UA,US																														1					3	3		7				
CN,UA,ZA																				2																						
CN,US	1	14	27	24	23	83	31	25	46	104	73	65	30	56	101	61	96	122	120	113	187	255	402	520	518	843	1261	2214	2618	4387	3796	4449	5738	6859	6945	9431	10598	9827	10491	11185	9343	11372
CN,US,UZ																																									1	
CN,US,VN																																		4		15	4	1				1
CN,US,ZA																																		18	4	9			102		4	
CN,US,null																												354	18	6	13											
CN,UZ															1		2					3				6	8	2	2	5	1	23	3	19	3		15	91	26	41	41	127
CN,VE													3																													33
CN,VN																											6			5	2						18	53	27	46	12	11
CN,YE																																							1			
CN,ZA																2								7				7	5				6	29	18	26	77	6	14	64	95	17
CN,ZW																																								12		
CN,null					16			1		2				13	13						10					17	2	170	13	141	14	9	5	1			1	5			1	4
CO			2			16	2		6	10				3	9	8	35	31	27	36	28	21	8	17	47	20	56	40	116	113	179	96	184	82	85	138	122	194	242	259	232	182
CO,CR,DE														5																												
CO,CR,DE,ES												7																														
CO,CR,ES																							2																			
CO,CU,FR,MX																																									4	
CO,CZ																															3	8								4		
CO,CZ,ES																																							13			
CO,DE												2					14	3		17	14	9		14				7	29	41	4	3	34	2		19	12	33	5	2		36
CO,DE,ES														15	4		8																									61
CO,DE,ES,GB																					20																					
CO,DE,ES,IL,IT,MX																														2												
CO,DE,ES,US																																			31							
CO,DE,FR																					4																					
CO,DE,GB																																							2			
CO,DE,IN																																										
CO,DE,US													10																					10								
CO,DK,GB																							1																			
CO,DO,DZ,GB,IN,IR																																									1	
CO,EC,ES																																								1		
CO,EC,MX																																								6		
CO,EC,PE																																										
CO,EC,VE																																									2	
CO,EG				10					5																																	
CO,EG,ES,SA,ZA																																									3	
CO,EG,PK																																										3
CO,ES			4							10	4			15	6	4	6	27	32	47	31	28	37	51	2	99	56	195	43	203	78	200	179	136	99	54	178	60	33	81	5	46
CO,ES,FR																	5							5		2						17	11	14			35				3	
CO,ES,FR,PE																															14									2		
CO,ES,FR,US																																						85				
CO,ES,GB																				33	29	40	10	17	21	24	12	86	24	27	6	34	30	15			21	31	31	21		
CO,ES,GB,VE																												7	22	14												
CO,ES,HR,IN,IR,US																																			7							
CO,ES,MX																		7																			1		9			4
CO,ES,PT																																										
CO,ES,US																																			20		32				3	
CO,ES,VE																							8	10	15									91								
CO,FR																		6						7			117	37	3	8		47	4		67	18	19		4	22	3	6
CO,FR,HU																																		21								
CO,FR,JP																																								30		
CO,FR,LT																																					5					
CO,FR,UY																																				9						
CO,FR,VE																													1													
CO,GB																																		8			5	92				
CO,GB,IT																																							4			
CO,GB,VE																								1			5												1			
CO,IE																																							1			
CO,IN																																							7			
CO,IT		1										3			7			2																		9			4	54		30
CO,JP																			12			10	2	21	2	25					11							2				
CO,JP,US																			11																	2						
CO,MX													3	5			13	21	2	5	6	1		1			2	4		1	2		2	4		11	6	43		6	60	88
CO,MX,PY,UY																																			18							
CO,MX,US																																				12			3	4		
CO,MY,VE																																						1				
CO,NL																																								3		
CO,PR																																		6								
CO,PT																																			1							
CO,PY,UY																																			10							
CO,RU																	16					18		38																		22
CO,RU,TR																		15																								
CO,RU,UA																																					4					
CO,SE																															3											
CO,TR																					14																					
CO,UA																																12										
CO,US								2	1		1			6			15	31	11	2		12				53			2	1	27	11	3	32	13	13		1	67		52	11
CO,UY																			4																			2			10	
CO,VE												2	4			7	11			13	21	27	15	5		33	16		19	125	3	1	3	27	12	8	10		1	1		
CO,null																														4												
CR			7		16		13	24	34				4			1	28	4	12	4	31	5		15	6		12	1		2	2	13		127			7	18	6	1	2	4
CR,CU,GB,IT																									3																	
CR,DE			5		12	6	25				8	26				3	14	3		12	16	5				5				5						2	18		2		2	
CR,DE,DK																																			3							
CR,DE,ES																											4															
CR,DE,IT																	1																									
CR,DE,KR,US																																		5								
CR,DE,SE																							1																			
CR,DE,US				11					17																																	
CR,DE,US,ZA						49																																				
CR,DK																																			10							
CR,EC,US																																		8								
CR,ES																														1			16		4	5		3		22		
CR,ES,IT																														5		8	8	9								
CR,ES,JP																																		5								
CR,ES,MX																																			7				17			
CR,ES,US														2																			4									
CR,FR														1																												
CR,GB,PT,US																															13											
CR,HU,IT									2																																	
CR,JP																																		15								
CR,KR,US																																				6						
CR,MW						16																																				
CR,MX																								1						3					15							
CR,PA																																						6				
CR,PA,VE																												2														
CR,PG,US																																			8							
CR,SE																																	1									
CR,US							10	16			7	5			5		1	4		6				38							6	19	3	6	9	1	2		4			
CU		3		9	1		17	23	2	8	28	37	2	30	33	40	15	141	36	11	24	5	17	25	35	84	9	35	3	17		16	18	1	19		18	4			16	
CU,CZ		7												3																												
CU,DE	3	4	2	1	2												36			6	14		28	16				49	1		5	23	44		36	71	20	37	83	27	62	
CU,DE,DK,ES																																2	2									
CU,DE,ES																																			32							
CU,DE,HU																	19																									
CU,DE,IT																																							1			
CU,DE,JP											2																															
CU,DE,US																																							43			
CU,DE,UY																																		11								
CU,DE,null				6																																						
CU,DK										2																																
CU,EC,ES																																								4		
CU,EC,ES,JP,ZA																																									2	
CU,EC,IT																																										1
CU,ES									1		10				1	39	9	1	15	45	6	59	25	17	41	9	39	17	12	7	122	195	45	79	73		5	18	4	2		
CU,ES,FR																	11			3			5																			
CU,ES,GB																												9	11						1			1				
CU,ES,IT																													15													
CU,ES,KR																											4															
CU,ES,MX																					12					25	2	3		7		4			16							
CU,ES,PL																																	5	5								
CU,ES,PT																														19												
CU,ES,PY,UY																												1														
CU,ES,US																															17	18										
CU,ES,VE																														2												
CU,FR																				1	15		9				1		7	5	4				6						7	
CU,FR,GB,PR																															7											
CU,FR,IT										4		2																														
CU,FR,MX																																								3		
CU,FR,MX,US																															1											
CU,FR,US																															3	10										
CU,GB,IT																													1													
CU,GB,MX																																					6					
CU,HU							1																																			
CU,IN,MX,US,VE																																						5				
CU,IT							1	3	8			8			1			6	6	12	1		20	38		8	13	1		4												
CU,IT,MX																				1				2				2														
CU,JP																9																								5		
CU,MX										1						8	13		13	7	10	3	12	1	4	1	25	9	21	15	20	10			10		1		4			
CU,MX,PT																							4																			
CU,MX,SI,US,VE																																			1							
CU,MX,US																																						2				
CU,MX,UY																																								8		
CU,NL,PL																																								8		
CU,RU					1																																			46	41	
CU,RU,UA																																										1
CU,SE																																16										
CU,SK			22					3																																		
CU,US																	13																						3			
CU,ZW																									2																	
CY															1				16		17	83	20	28	48	55	45	22	57	56	215	54	132	124	171	71	105	71	64	15	46	6
CY,CZ,DE,GR,PA																																										2
CY,CZ,GR																																							1			
CY,CZ,GR,SI																																	48									
CY,DE																								14			3															
CY,DE,ES,GR,US																																5										
CY,DE,GB																																			18							
CY,DE,GR																													3				2		4							2
CY,DE,GR,PA,PT																																										3
CY,DE,GR,PL																												2														
CY,DE,RU,US																														69												
CY,DE,TR																															2									1	16	
CY,DE,US																											59															
CY,DK,FR,GB																																				1						
CY,EG																																										6
CY,EG,ES																																				2						
CY,EG,RO																																	3									
CY,ES																								6																		
CY,ES,FR,GR,US																														3												
CY,ES,FR,US																																				2						
CY,ES,GB,GR																														3												
CY,ES,GR																									19	4				2	3		3			8	5			6		14
CY,ES,GR,IE																																									5	
CY,ES,GR,US																											8						1									
CY,ES,IR,PL,RU																																						5				
CY,FI,FR																																			4							
CY,FI,US																																									20	
CY,FR,GR																													4							4						
CY,FR,GR,US																										4			10	7	2	1										
CY,FR,IR																																										1
CY,FR,US																												7														
CY,GB																						20	11								2	2	3		14	8					3	
CY,GB,GR																					8												2	46				22	2	12	10	14
CY,GB,GR,PT																																										4
CY,GR																	4	10		2	5	3				1		18	14			42	56	14	2	49	8	106	4	114	28	50
CY,GR,HU,US																												6														
CY,GR,IE,US																																					11		3			
CY,GR,PL																												2		6		6		3								
CY,GR,PL,TR																																		2				7				
CY,GR,PR,RO																													3													
CY,GR,RU																																1										
CY,GR,SI																															2	7										
CY,GR,TR																																				5	13	5	7		4	
CY,GR,US																										2			8		2	5	2	4				2				
CY,GR,US,null																														7												
CY,IE																																				1		2	5			
CY,IL																																								1		
CY,IL,NO																																									9	
CY,IR																																					1	10		1		
CY,IT																																29				2						
CY,JP																															5											
CY,KR																																					2					
CY,KZ,RU,TR,US																																				2						
CY,NL																													32													
CY,NO																																										1
CY,PK,TR																																								4		
CY,RU																																		4				8	20			
CY,RU,US																														32												
CY,SA,TR																																										3
CY,SI																																										
CY,TR									15										1											4					27			41	34	36	73	8
CY,TR,US																																								3		
CY,US																												26	3	5		1			21	4		6	1	7	31	5
CZ	1176	1046	998	897	681	659	771	586	695	791	455	639	986	1229	747	1366	1136	1218	1130	1797	1377	1360	1696	1508	1321	2178	1804	1732	2065	2663	2956	2684	2916	3241	3196	3059	3694	2736	2300	3208	4045	2683
CZ,DE	14	47	13	28	10	29	9	23	8	1	30	19	20	58	30	105	65	89	84	75	117	100	96	173	60	63	166	152	331	230	182	412	138	148	360	128	186	295	437	170	274	134
CZ,DE,DK																	4		1												14						9					
CZ,DE,EE,ES,IE																																							30			
CZ,DE,EE,IE																																					9					
CZ,DE,EG																																										71
CZ,DE,ES																					9			32											7	6	9	7			51	1
CZ,DE,ES,FR																							1																			
CZ,DE,ES,FR,GB																																					14					
CZ,DE,ES,IN																										2			11		13	20										
CZ,DE,ES,IR,PL																																	9									
CZ,DE,ES,RS																																		1								
CZ,DE,ES,US																													2					1								
CZ,DE,FI																													11											1	8	
CZ,DE,FR			5											8				1	1			1	49	44		29	3	22		9					13		9	13		3	23	
CZ,DE,FR,GB																															22						5					
CZ,DE,FR,IE																																	3									
CZ,DE,FR,IN																													3													
CZ,DE,FR,NL																														5												
CZ,DE,FR,NL,PL																										24																
CZ,DE,FR,SK																																										
CZ,DE,GB												4	6				2	1			10		5	7				29						37	20		1	15	3		43	
CZ,DE,GB,HU																																										
CZ,DE,GB,JP,TR,US																																							1			
CZ,DE,GB,NL																					1																					
CZ,DE,GB,PL																																								13		
CZ,DE,GR																								1																		
CZ,DE,HU																																			4	21		40	11			
CZ,DE,IE																																	2			32						
CZ,DE,IL																																							5			
CZ,DE,IL,IT																																									10	
CZ,DE,IN																					22	6	9	13	35		37	16	24	16	17	12	11	14	5	8			7	36	11	7
CZ,DE,IN,IT																																										2
CZ,DE,IN,IT,NL																										6																
CZ,DE,IN,PA																																									4	
CZ,DE,IN,PT																																								11		
CZ,DE,IN,US																																						6				
CZ,DE,IR																														3						1						
CZ,DE,IR,PL																																									5	
CZ,DE,IT									6				1							10														1						13		
CZ,DE,IT,NO																																										2
CZ,DE,IT,PT																						13																				
CZ,DE,IT,RS,SK																																										5
CZ,DE,IT,RU																																									1	
CZ,DE,JP																	17	3			2		6																			
CZ,DE,JP,SK																																	16									
CZ,DE,JP,TR																																								3		
CZ,DE,KZ,RU																																			5							
CZ,DE,LT																										1												5				
CZ,DE,MA																										1																
CZ,DE,MA,QA																																				1						
CZ,DE,NL								1						2						10	9	8	4	8											6							
CZ,DE,NO																																						1				
CZ,DE,PL		11					2					3		7					2		1		1					1			7							6			41	19
CZ,DE,PL,RU																																					7			12	3	
CZ,DE,PL,SK																																								1		
CZ,DE,PL,US																																1										
CZ,DE,PR																14																										
CZ,DE,PT																											3		5				1		26							16
CZ,DE,RO																																				11						
CZ,DE,RU					36								5			6													3				1		15	3		8		2	10	6
CZ,DE,RU,US																			8																							19
CZ,DE,SE																			1									2														
CZ,DE,SE,SK																			19																							
CZ,DE,SI,SK																																		5								
CZ,DE,SK					10						4						3				6		6			24			1		5		3	8	15			14		19		
CZ,DE,SK,US																													7													7
CZ,DE,SY																	10			2																						
CZ,DE,TR																															9										2	2
CZ,DE,UA																																							3	17		
CZ,DE,US																												5	14					72	5		61	66	18	10	2	
CZ,DE,VN																		1																								
CZ,DE,ZA																																2										
CZ,DE,null	4												1																													
CZ,DK	1			7								24					3		1								219			11					5	22	44	6	7	11	1	
CZ,DK,GB																																				26						
CZ,DK,GB,GR,NO,SE																					1																					
CZ,DK,JP																																										5
CZ,DK,SE																													3													
CZ,DK,US																								1																		
CZ,DK,ZA																														2												
CZ,DZ																												5		3												
CZ,DZ,FR																								8																		
CZ,DZ,FR,MU,SA,TR																																				1						
CZ,DZ,IN									2																																	
CZ,DZ,IR,NL																																					2					
CZ,DZ,IT																																										2
CZ,DZ,IT,PT																																										
CZ,DZ,JP,MA																																								1		
CZ,DZ,LB,PK																												1														
CZ,DZ,MA,TR																																									2	
CZ,DZ,MX,NL,TR																																							3			
CZ,DZ,PK,SA																																			1							
CZ,DZ,SK,UA																																	1									
CZ,EC,VE																																										18
CZ,EE																							19									25	12	17								
CZ,EE,GR,PL																													2													
CZ,EE,IN,PL																													7													
CZ,EE,IT																	1		1					6																		
CZ,EE,JP																									1																	
CZ,EE,PL,UA																																									16	
CZ,EE,SK																																									4	
CZ,EG													2				26		28									4				21			16	20	109	154				37
CZ,EG,ES,IT,LB																																							19			
CZ,EG,IT																																							15	18		
CZ,EG,KW																																										6
CZ,EG,PK,SY																																										
CZ,EG,SA																																			29							38
CZ,EG,SK																		4				2																				
CZ,ES					1						3	2	2	3	7	7		3	15		4	1		8	4	17	5	8	94	54	75	1	68	4	14	7	22	9	46	16	8	80
CZ,ES,FI																									15			27						24								
CZ,ES,FR																						7													6	8	10		30			
CZ,ES,FR,IT																																									22	
CZ,ES,FR,PL,SI,TN																																				20						
CZ,ES,FR,PL,TN																																					20					
CZ,ES,FR,PT																																		9								
CZ,ES,FR,PT,TN																																							14			
CZ,ES,FR,SK																																							3			
CZ,ES,GB																										1				6	21	6				7	1	6	109	6	7	15
CZ,ES,HU																																								9	15	
CZ,ES,IE																																37										
CZ,ES,IL																									2																	
CZ,ES,IN																																										
CZ,ES,IN,IR																																		2								
CZ,ES,IR																																		1			1	1				2
CZ,ES,IR,PL																																			3							
CZ,ES,IR,RU																																										4
CZ,ES,IT															1																								16	12	6	
CZ,ES,IT,PL																																										8
CZ,ES,IT,PT																																										6
CZ,ES,KR																																	1									
CZ,ES,MA																																				4					1	
CZ,ES,MX																																										18
CZ,ES,PL																																									15	1
CZ,ES,PL,SI																																						72				
CZ,ES,PT																																										11
CZ,ES,PT,UA																																										1
CZ,ES,PT,US																																		3								
CZ,ES,RU																																				5						
CZ,ES,SK																											2						9								7	
CZ,ES,TN																																									10	
CZ,ES,US																																28	10									
CZ,ES,ZA																																1										
CZ,FI						1	5			1				1	5			6		4	1	13	2	24		17	9	29	25		8	13			2	6		1	5	24	9	6
CZ,FI,GB																																						10				
CZ,FI,GB,SI																																								20		
CZ,FI,GB,TW,US																																				2						
CZ,FI,GR,JP																																							3			
CZ,FI,HU,SE,SI																																									85	
CZ,FI,IR																																		7								
CZ,FI,IR,PL,RO																										22																
CZ,FI,LV																											40															
CZ,FI,LV,US																																									4	
CZ,FI,NL,RU															7																											
CZ,FI,PL																								1												13						
CZ,FI,SK																		6					29	28				20		14												
CZ,FR	6		1	7						2		5	29	26	23	12	117	24	51	8	12	31	38	43	59	38	18		25	43	123	53	59	97	110	169	145	94	56	33	157	25
CZ,FR,GB																2										4			8			36	1	3			21				55	
CZ,FR,GB,GR,PR,US																																		1								
CZ,FR,GB,HU																																									5	
CZ,FR,GB,IE																															20											
CZ,FR,GR																							6																3	3	8	
CZ,FR,HR																																								6		
CZ,FR,HU																														7							6					
CZ,FR,IL										1																																
CZ,FR,IN													1																											7	3	
CZ,FR,IN,SK																														1												
CZ,FR,IT																9				9										1			9	12	18		7		47		2	
CZ,FR,IT,US																																			2							
CZ,FR,JP																									1		2					22		5							3	
CZ,FR,JP,PL																																									21	
CZ,FR,JP,PT																																1										
CZ,FR,KH,UA																																			8							
CZ,FR,KR																														3				13								
CZ,FR,MF								7																																		
CZ,FR,MT,UA																																1										
CZ,FR,PL																													1	2											42	
CZ,FR,PT																										1						24			15							
CZ,FR,RO																																		17								
CZ,FR,RU																		2	5				1															14		11	11	8
CZ,FR,SE																											2			2						2						
CZ,FR,SK				97														1								18	3	1										1		4		
CZ,FR,SN																																		7								
CZ,FR,TN																						1																				
CZ,FR,UA																				2									5											4		
CZ,FR,US															4		8	3				5		5						9							1	5	10			
CZ,FR,US,null																													3													
CZ,GB											9	7	8	34	3	17	26	28	22	75	33	26	11	9	26	5	44	27	15	3	158	83	91	53	45	83	98	52	125	180	36	129
CZ,GB,GR																		1																						6		
CZ,GB,GR,JP,RO																			1																							
CZ,GB,GR,MX																	1																									
CZ,GB,GR,PR,RU																																1										
CZ,GB,GR,US																																			3							
CZ,GB,HU																																										18
CZ,GB,IE																		14										5					4							1		
CZ,GB,IL																															13	1	1									
CZ,GB,IN					2														5					3			3		2		3				59						91	
CZ,GB,IT																								1										6				63				
CZ,GB,IT,PT																						18		13																		
CZ,GB,JP																			1		4																					
CZ,GB,LV,SI																													1													
CZ,GB,MA																																								1		
CZ,GB,MX																4	2																									
CZ,GB,NL																				4										1												
CZ,GB,NL,PL																																										
CZ,GB,NO,SE,US																																						10				
CZ,GB,PL																																					2					
CZ,GB,PR,RU																													1													
CZ,GB,PT																						34		13																		
CZ,GB,PT,SK																																									22	
CZ,GB,RU																						41		2																		
CZ,GB,SE																																	33									
CZ,GB,SI																													2													
CZ,GB,SK																																				4				3		
CZ,GB,UA																																11										
CZ,GB,US												12								5				2			5					1			8	14	13	2	5		9	4
CZ,GB,US,null																													2													
CZ,GB,null																												6														
CZ,GE					6																																					
CZ,GE,IT																										11																
CZ,GE,RU												14																														
CZ,GR			7						3	5		9												10		12	42	5	17	48	8	1	23		16	2		1		4	1	10
CZ,GR,IR,IT																																								4		
CZ,GR,IT																																						3				
CZ,GR,NO																																			1							
CZ,GR,PL																																		4								
CZ,GR,RS,RU																																									2	
CZ,GR,RS,SA																																									9	
CZ,GR,SK																													1												15	
CZ,HR	6			3																														9				6				6
CZ,HR,IL,US																																			14		69					
CZ,HR,IT																				5																						
CZ,HU					3	109	14	16	5			32			1				14		9	1	11		1	4			6	12	31			1	56	26	109	37	42	27	100	26
CZ,HU,IN								2																																		
CZ,HU,IT																																									5	
CZ,HU,IT,SK										2																																
CZ,HU,JP																										1			1													
CZ,HU,MK																																										1
CZ,HU,MY																			1																							
CZ,HU,PL,US																																		26								
CZ,HU,RS					2		3																																			
CZ,HU,RU							5																																			
CZ,HU,SI																															51										8	
CZ,HU,SK			1																				1															10			20	
CZ,HU,US																										2										1			17			
CZ,IE																														6		3	20	17					4	3		
CZ,IE,PL,SK																														10												
CZ,IE,SK														1																		41	44	25	36	42	28					
CZ,IL																2	1	1	17	6	23	4	42	34	4	9		3			1	4	1	5		1			2	10		22
CZ,IL,IN																																				2						
CZ,IL,IT,UA																																					2					
CZ,IL,RU																								4																		
CZ,IL,US																																					38					
CZ,IN	7	17	6	5	26	35	51	25	28	27	2	7		2		1				1	9		2			2	12		13	85	14	41	50	105	28	14	8	48	12	20	86	60
CZ,IN,IR																															1										3	
CZ,IN,IT																																						6	1		2	1
CZ,IN,IT,LV																																				7						
CZ,IN,IT,SA																																										1
CZ,IN,JP,SA,US																																			23							
CZ,IN,KR																																				23						
CZ,IN,MX																																							10			
CZ,IN,NZ																																			23							
CZ,IN,PL																								4					1													
CZ,IN,PL,SK,VN																																								8		
CZ,IN,PL,UA																																	3									
CZ,IN,PT																																							5			10
CZ,IN,PT,SI																																										19
CZ,IN,QA,US																								2																		
CZ,IN,RU																																										4
CZ,IN,SK															11					4															3						6	
CZ,IN,TW																																	2									
CZ,IN,UA																																										1
CZ,IN,US																			9														2	12						11		30
CZ,IN,US,ZA																																										74
CZ,IQ											3																															
CZ,IQ,IT																																									6	
CZ,IR																														3	5	5	62	48	34	41	54	71	34	108	70	96
CZ,IR,IT																																						1				
CZ,IR,JP																																		2								
CZ,IR,KR																																								8		
CZ,IR,NZ																																			5	3						
CZ,IR,PL																																	2						5			
CZ,IR,RS																																			2							
CZ,IR,RU																																							1			
CZ,IR,SK																																	2									
CZ,IR,TR																																			1							
CZ,IR,US																																			2	1		2	2			
CZ,IR,VN																																								1		
CZ,IT	16		5							1			1	13	1	21	12	4	14	14	40	14	33	30	78	66	70	40	49	87	47	56	149	26	44	79	30	21	61	25	95	53
CZ,IT,JP																	1			1	1																					
CZ,IT,JP,KR																								5																		
CZ,IT,JP,UA																									1																	
CZ,IT,MG																																						3				
CZ,IT,NZ,PL,US																																								22		
CZ,IT,PL								5																1									8							13	17	2
CZ,IT,PL,SI										1																																
CZ,IT,PT																									13																14	
CZ,IT,PT,SK																																										
CZ,IT,SI																															3				1							
CZ,IT,SK															1	1						3													1		1	24	11	3		46
CZ,IT,SK,US																																		2								
CZ,IT,TR																																3										
CZ,IT,TW																																										31
CZ,IT,UA																							1																			
CZ,IT,US																		1		32			8	15								12		19								
CZ,IT,null																25														40												
CZ,JP			6				32	40				6		2	2	8	37	33	24	30	11	6	7	18	11	11	19	4	14	19	33	33		6	19	13	261	98		4	19	11
CZ,JP,KR,VN																																			4							
CZ,JP,NL					3							8	3			2	2		14																1							
CZ,JP,NL,RU															12																											
CZ,JP,NL,US																														15												
CZ,JP,PL																																					11					
CZ,JP,RO																															8											
CZ,JP,RS																													13													
CZ,JP,RU															1		4		63	11	4					1		2	14													
CZ,JP,SE																	5																									
CZ,JP,SK																				7											1											
CZ,JP,TJ																									1																	
CZ,JP,TW																															3											
CZ,JP,TW,US																												2														
CZ,JP,UA																					1																					
CZ,JP,US							5													2	1													20					15			
CZ,KR																									8	4			3	3	15				31	5	15	1	1			
CZ,KR,PK																																						1				
CZ,KR,PL																																									7	
CZ,KR,RU																																	1	1								
CZ,KR,US							1																		2						14				1			27		2		2
CZ,KR,VN																																			8							
CZ,KW																												9				19	4		10		19			8		
CZ,KZ																																		1					2	1		
CZ,LT																						11						1		22				49						23	56	68
CZ,LV,UA															9																											
CZ,MA																														9						9						
CZ,MA,US																									8																	
CZ,MD,PL,UA																																				43						
CZ,MK																			1																							
CZ,MX																			4										7			8	8	23	2		52	28			31	5
CZ,MZ								4																																		
CZ,MZ,null	1																													10												
CZ,NL					6		4	5	11	2		13	3		6	16	17	1	3	1	3	2	18			1	1	5			5			2	6				8	2		4
CZ,NL,PL																1									7																	
CZ,NL,RU						1				8																																
CZ,NL,SE																											4	8														
CZ,NL,US																6	3																				1					
CZ,NL,VN																		1																								
CZ,NO																					5							8		9	10			28				11	13		13	
CZ,NO,SE																								1											3							
CZ,NO,SK																																						1				1
CZ,NZ											3									3										1										6		
CZ,PH									3																																	
CZ,PK																														14	2											
CZ,PK,SA																														6												
CZ,PL	1	18	40	11	11	4		8	31	4	13	2	13	6	9	10	10	7	6		28	5	12	6	37	44	31	28	35	68	45	112	67	367	93	225	128	61	177	196	243	125
CZ,PL,PT																															4		12									2
CZ,PL,RU										2															2	4								29			26				4	
CZ,PL,RU,UA																																						4				
CZ,PL,SE																												2							3							
CZ,PL,SE,SK																													1													
CZ,PL,SI																																					80	62				
CZ,PL,SK																												26			9	16	4	10			15			16	43	37
CZ,PL,SK,US																																						5				
CZ,PL,TW																																										5
CZ,PL,UA																					9				18													1				
CZ,PL,UA,US																																1										
CZ,PL,US						3								13						2												5									95	
CZ,PL,null										1																																
CZ,PR																												8														
CZ,PR,SK,US																																						1				
