1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	
AU,TW																												20					13		1		1	1			1	
AU,US				7					1				2			5	14	4		3	13		6	1	8		15	42	25	3	3	2		8	2		12	2	31	12	2	
AU,US,UY																															4											
AU,ZA																										2							1									
AU,null																									4																	
AZ	2	2	3		13	2					1									14	29	5	38	11	6		11	13	51	11	10	1						40	15	5	7	2
AZ,DE,RU																																										2
AZ,FR																														15				28								
AZ,PT																																						1				
AZ,PT,RU																																			3							
AZ,RU								27						2																							6					
AZ,TR																															19											
BD																											2			2	5		4	7						5	7	5
BD,GB																															1											
BD,HK																																								4		
BD,IN																	4			6							6									1						5
BD,IN,JP																																					4					
BD,JP																													10									1		1		
BD,JP,US																																										
BD,KR																																5										
BD,VN																								3			2		5													
BE	2	1	1		1		10	26		21	2	4	8	3	25	3	13	2		110	13	29	24	52	29	42	24	28	11	13	18	36	76	16	36	28	32	58	83		10	1
BE,BG																4																				1						
BE,BR,DE,PL,RU																																		12								
BE,BR,RU,SE													3																													
BE,CA																																	11	5	3	10						4
BE,CA,CN																																1										
BE,CA,FR																													1		1											
BE,CA,FR,GB																																		2								
BE,CA,NL																																										2
BE,CA,US																																			15							
BE,CH										3												13																				
BE,CH,CZ,FR																											19															
BE,CH,DK																																				3						
BE,CH,EE,RU																																			3							
BE,CH,ES,NL																									4																	
BE,CH,FR,RU																																1										
BE,CH,IT																					1																					
BE,CH,NL																							15																			
BE,CH,RU																		3																								
BE,CH,US																																						3				
BE,CN																				1							1	1	6	7	14	10	14	19	4		1	22		9		
BE,CN,DE																																		2				1				
BE,CN,DE,ES																																			3							
BE,CN,DE,ES,US																																								1		
BE,CN,DE,US																																			3							
BE,CN,FR																																	2		2	7	3					
BE,CN,GB,US																																							1			
BE,CN,RO																																									8	
BE,CN,SG																																								2		1
BE,CN,US																																		9								
BE,CO,FR																																								9		
BE,CZ																								5					5								4					
BE,CZ,DE																													4													
BE,CZ,GB,US																																										
BE,CZ,HU																										32																
BE,CZ,NL																													6													
BE,CZ,NL,PT																													50													
BE,DE				2								7			1			3	5	15			14		1	6		1		8		2						1	44		5	
BE,DE,DK																															1											
BE,DE,EE,FR,RU																																		5								
BE,DE,ES,FR,GB,IN																																					3					
BE,DE,FI,FR																																					5					
BE,DE,FI,RU																																						10				
BE,DE,FR																								2		9				1												4
BE,DE,FR,GB																																		3								
BE,DE,FR,NZ																																	5									
BE,DE,FR,RU																																							2			
BE,DE,FR,SK,US																													2													
BE,DE,GB																														3	1	2			8							
BE,DE,GB,LT																										3																
BE,DE,HU																											3															
BE,DE,JP,SG																																								1		
BE,DE,LV,RU																										2																
BE,DE,MD																						2																				
BE,DE,PL																			3																							
BE,DE,PL,RU																																				12						
BE,DE,RU																														3			1		27			5				
BE,DE,US																									3			1		1			2									
BE,DZ																																										3
BE,EE																																		2								
BE,EG																															2											
BE,ES,FR																																								3		
BE,ES,FR,IT																																								2		
BE,ES,GB																										1				3												
BE,ES,IE									1																																	
BE,ES,IR																																		4								
BE,FI													36																													5
BE,FR							11	3	10	5		11	2	4	7	3		11	12		5	1	8		4	5	4				9	13	22	4	4	8	12					
BE,FR,GB																								2		2																
BE,FR,IT																										2																
BE,FR,IT,NL																																								1		
BE,FR,JP,RU																												15														
BE,FR,NL									4																																	
BE,FR,NL,US													2																													
BE,FR,RO																																				16						
BE,FR,RU																																					3					
BE,FR,TN																																					5		1			
BE,FR,US															5				2				1	1								7										
BE,GB												6								1											3	11			1	1	9		3		4	
BE,GB,HR													1																													
BE,GB,IE																																							5			
BE,GB,JP,null																												2														
BE,GB,RU																			35																							
BE,GB,US																													7		4	1			1					2		
BE,GB,null																													6													
BE,GR																							8			1																
BE,HU																													2													
BE,IN																					1																					
BE,IR,PL																																				26						
BE,IT																																			6		9		2		4	
BE,IT,PL																															1											
BE,IT,US							12																																			
BE,JP																								1										4						1		
BE,JP,PL																																									6	
BE,JP,RU																																			10		14				11	
BE,KW,SA																																								4		
BE,LT																		8	1																			6				
BE,MX														1																								2				
BE,NE										2																																
BE,NL									8	9			6				1									8																
BE,NL,PT																									3																	
