	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
AR,BE											1	1				2	1	2	3			2			4	2		2	16				16	3	38		1	32	10		12	
AR,BE,BR,CO,FR,PE																																						2				
AR,BE,CU,ES,MX,PE																																		5								
AR,BE,ES																			3												3					3						
AR,BE,FR																																			3		5					
AR,BE,GB																						19																				
AR,BE,MA,PK,RO																																									1	
AR,BE,MA,RO,TR																																								1		
AR,BE,PL																																				8						
AR,BG,CL																							2	2			20															
AR,BG,FR																																										10
AR,BH,KR,PK																																									9	
AR,BO																																				11	8					
AR,BO,ES,PE																							6																			
AR,BR				5		2				1		1	3			2	2	11	24	15	19	32	32	12	11	50	5	14	76	33	45	88	25	165	125	96	87	68	87	19	13	25
AR,BR,CA,IR																																			1							
AR,BR,CL																												4	1						2							6
AR,BR,CL,DE																															1											
AR,BR,CL,FR																											1															
AR,BR,CO																																					1		5			
AR,BR,CO,CU																																						1				
AR,BR,CO,PY,SV,UY																																		80								
AR,BR,CU																																					1		2		2	
AR,BR,CZ																																							1	2		
AR,BR,DE																													1						3	14				9		
AR,BR,DK																													1													
AR,BR,EC																																									7	
AR,BR,ES																																									4	
AR,BR,ES,MX,null																									2																	
AR,BR,ES,US																																						10				
AR,BR,ES,UY																									21		10															
AR,BR,FR																								3																		
AR,BR,GB																			1		1			4	1	3			2		3											
AR,BR,HU																																					6					
AR,BR,JP																														4		9										
AR,BR,JP,UY																								7																		
AR,BR,MX																				1																						
AR,BR,PA																															14											
AR,BR,PT,UY																															7											
AR,BR,US																															6	1		11	20			1	17	50	2	
AR,BR,US,UY																									5																	
AR,BR,UY																	1			2			6		7	3	1	1	1				10	2							2	
AR,BR,UY,VE																							2																			
AR,CA					1													7	2								6	4							3		2	6			16	
AR,CA,ES																									4																	
AR,CA,MX																										3					6				1							
AR,CA,MX,US																															6											
AR,CA,PK																																						12				
AR,CA,PT																																								10		
AR,CH																		1		9	3			3				19		7												
AR,CH,CL,US																																	43						1			
AR,CH,CZ																																										
AR,CH,DE														3																											15	
AR,CH,ES																																							3			
AR,CH,ES,PT																						10																				
AR,CL	5						10	14							5	2		3		16	23	11	27	10	39	32	24	16	28	17	8	36	2	12	52	14	7	46	6	9	8	4
AR,CL,CO																													3												15	
AR,CL,DE																																						2				
AR,CL,ES										8										1	6					1				6						1				22		
AR,CL,ES,FR																												5														
AR,CL,ES,HU																													2													
AR,CL,ES,PY,UY																										20																
AR,CL,ES,UY																								11					9	11												
AR,CL,FR													2						2	9			16	5	9	4	4	1									5					
AR,CL,FR,PE																									10																	
AR,CL,FR,UY																5																										
AR,CL,GB																								5																		
AR,CL,IN																																										3
AR,CL,IT,US																						11																				
AR,CL,MX																												1		1	2		2	3					2			
AR,CL,PE																								4	2																	
AR,CL,US																					2			4	1			4			1										2	
AR,CL,US,UY																																								5		
AR,CL,UY																												14														
AR,CM																							1																			
AR,CN																												8					7									2
AR,CN,DE																															1	3	2					1				
AR,CN,DE,PK																																								1		
AR,CN,HU,US																																						11				
AR,CN,RS																																			5							
AR,CN,SI																																						4				
AR,CN,US																																				1			5			
AR,CO																				4						7		44		7		1	3	23	26		49	10		10	3	18
AR,CO,CZ,ES,SK,US																																					30		4			
AR,CO,DO,DZ,GB,IR,TR																																										
AR,CO,ES																				2			82		9	36	6			5	9	9	19		10	2		46		44		
AR,CO,ES,GB																											9															
AR,CO,ES,PA																											8															
AR,CO,ES,US																																							37		37	
AR,CO,ES,VE																																						79				
AR,CO,MX																																									4	3
AR,CO,PA																												30														
AR,CO,PT																																						4				
AR,CO,US																																				30			32			
AR,CR,PA																																	2									
AR,CU																								7			21		1	4							3					
AR,CU,DE																																										45
AR,CU,DE,PK																																					3					
AR,CU,MX																																								3		
AR,CU,NZ,PK																																							3			
AR,CU,UZ																								4																		
AR,CZ																													31	15							22			16		
AR,CZ,DE																			25	6				8				27		5												
AR,CZ,DE,SK,US																																								1		
AR,CZ,PL																																								6		
AR,CZ,PL,SK																																									15	
AR,CZ,SI																																							15			
AR,CZ,US																																								11		
AR,DE			2					12	43			2	5		10	30	23	22	12	4	1	10	24	5	6	25	24	20	12	14	14	36	6	31	43	32	16	33	28	11	6	18
AR,DE,EC																																							2		7	6
AR,DE,ES																		3		3					6								4							45		5
AR,DE,ES,RU																											1															
AR,DE,FR												1																			4		56				4	3				
AR,DE,GB																																		1								
AR,DE,GB,US																																										
AR,DE,HU																									14																	
AR,DE,IN																																	2									
AR,DE,IT																																		5	2							
AR,DE,IT,MX,UY																														2												
AR,DE,JP											2									2																						
AR,DE,MX																																		6								
AR,DE,NO																			2																							
AR,DE,PK																														2		1	2	2					1			
AR,DE,PK,TR																																									2	
AR,DE,RU																																		68								
AR,DE,TH																																				4						
AR,DE,US																																					3	12				
AR,DE,ZA																							3																			
AR,DE,null																			2																							
AR,DK,ES																											105															
AR,DZ,ES,GB,IR,RU																																									1	
AR,DZ,IT																																									3	
AR,EG,US																																									21	
AR,ES								4	1	3	2		6	5		29	10	31	2	14	62	21	4	38	25	4	36	67	59	115	68	78	165	156	81	178	131	180	87	60	66	41
AR,ES,FR																				20									11												5	2
AR,ES,FR,GB																																				4						
AR,ES,GB																					2																					
AR,ES,HU																											3					4	3			12					10	
AR,ES,HU,null																							5																			
AR,ES,IN																																								1		
AR,ES,IN,PK,TR																																										1
AR,ES,IR,US																																										3
AR,ES,IT																	1									93										2				46		
AR,ES,JP,PT																																										
AR,ES,MA																																				11						
AR,ES,MX																																			16							
AR,ES,PE																																							2			
AR,ES,PT																									8					8			2						2			
AR,ES,PT,UY																																	10									
AR,ES,RU																																								15		
AR,ES,US																1				2									6		2			22				2				1
AR,ES,UY																				13																				15		
AR,ES,UY,VE																								1																		
AR,ES,VE																					20							64														
AR,FI,GB,US,UY																																								5		
AR,FR			1						1	3	2									16		35			7	10	20	30	6	24	52	3	47	41		6	20	96	45	8	9	127
AR,FR,GB																																						14				
AR,FR,GB,IT																														10												
AR,FR,IN																																		2								
AR,FR,IN,US																																					73					
AR,FR,IN,ZA																																	16									
AR,FR,IT																																			1							
AR,FR,PT																										7																
AR,FR,RU,SA,TN																																										1
AR,FR,SK,US																																1										
AR,FR,TN																																						1				
AR,FR,TN,TR																																							1		1	
AR,FR,US																																	69						7			
AR,GB													1					4			9	1	9			5	4			1		4			10							
AR,GB,GR																														16												
AR,GB,IN,PT																																		2								
AR,GB,MX																															1											
AR,GB,US																																30	22									
AR,GB,US,UY																																									8	
