1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	
AU,DE,IN,MX																																					7				2	
AU,DE,IN,US																										6																
AU,DE,IR																																		10					5		1	
AU,DE,IT																		5																								
AU,DE,IT,JP																		12																								
AU,DE,JO																																										
AU,DE,JO,US																																										5
AU,DE,JP																			31				9							6										1		
AU,DE,KR																								8																		
AU,DE,MX																																		12								
AU,DE,NO																																	19									
AU,DE,NZ																										9		12				9							1	11		
AU,DE,PL																																9										
AU,DE,PL,US																																						1				
AU,DE,RU																																				4						
AU,DE,SE																												9														
AU,DE,SG																								35																	5	
AU,DE,SI																									1																	
AU,DE,US																										2	2	13					17	16								2
AU,DE,ZA																																		2						11		
AU,DK								13												23	1	30		9				2			6		3	8	4	2	2					
AU,DK,GB																						9			13											4						
AU,DK,GB,NZ																						4																				
AU,DK,GB,UA																									5																	
AU,DK,GB,US																										4								2								
AU,DK,RU															3																											
AU,DK,SE,US																																							3			
AU,DK,SI																											1															
AU,DK,US																															1											
AU,DK,US,null																												7	1													
AU,DZ,GB,NL																																			1							
AU,EG,SK																															1											
AU,ES														2				9			10	8	16	12					51	4	24	6	14			2	12	2	7	11	8	
AU,ES,FR,US																																									12	
AU,ES,GB																																		3			4					27
AU,ES,GB,IN,IT																																		1								
AU,ES,GB,SG,US																																							2			
AU,ES,IE,PT																									8																	
AU,ES,IN																											2															
AU,ES,IN,IR,IT,RU																																										
AU,ES,IN,IR,PL,RU																																									3	
AU,ES,IN,SK																																				1						
AU,ES,IR,IT,PL,US																																				7						
AU,ES,IT																					2																					
AU,ES,PL,RU																																			15							
AU,ES,PL,UA																													1													
AU,ES,RU																																							9			
AU,ES,SE,UY																												4														
AU,ES,UY																							17				13															
AU,FI																																										1
AU,FI,FR																															13	27										
AU,FI,GB																																										
AU,FI,GB,SE																																					10					
AU,FI,GB,SE,US																																									5	
AU,FI,JP,US																										5																
AU,FR							2				2	6	1				4	1	4	15	8	20	10	35	8	48	14	6	26	62	7	79	6	27	58	50	25	29	14	26	35	11
AU,FR,GB																												7		5	12		13					9		10	3	
AU,FR,GB,IN																																				6						
AU,FR,GB,KR																																17										
AU,FR,GB,MY,US																																			3							
AU,FR,GB,US																																								38		
AU,FR,ID,IT,KR																													2													
AU,FR,IN																											3															
AU,FR,IN,NZ																																					9					
AU,FR,IT																																										
AU,FR,JP,KR																																5	9									
AU,FR,KR																						2	1	1	11	10				4												
AU,FR,MY																																		5								
AU,FR,NZ																																				17			4			
AU,FR,PL																																3			13							
AU,FR,TW																																15										
AU,FR,US																			6										1		2											
AU,GB	16	45	52	71	13		40	58	3		24	13	5	30	16	1		4	10	77	118	51	44	39	34	75	78	145	66	181	70	84	148	60	93	67	108	36	67	77	52	57
AU,GB,IE				10																			5						2		1						7					
AU,GB,IE,NZ																															2											
AU,GB,IL																														4												
AU,GB,IN																																					24	9	5		6	
AU,GB,IN,SA																																										
AU,GB,IN,US																												7														
AU,GB,IQ																																				8						
AU,GB,IT																	8																									
AU,GB,IT,NZ																															6	4	12	9								
AU,GB,IT,US																															13	20										
AU,GB,NL																																1				4						
AU,GB,NZ																														8		19	34	3					3			
AU,GB,NZ,TH																													7					4		5						
AU,GB,PL																																						3				
AU,GB,PT																												2														
AU,GB,SE																												15														
AU,GB,SG																																					12					
AU,GB,TH																																	8	4			1					
AU,GB,TW																																			5							
AU,GB,UA																						3			12																	
AU,GB,US															16	5							30		8			4					2	15				23	2		6	10
AU,GB,ZA																											1		9	3												
AU,GB,null																													1													
AU,GR																																							6			
AU,GR,JP																					3																					
AU,GR,NZ																											2															
AU,GR,PR																			5																							
AU,GR,SI,US																										1																
AU,HK																																								4		
AU,HK,TW																																							5	5		5
AU,HR																										3																
AU,HU																													1													
AU,HU,SK																																			5							
AU,ID																														2				4								
AU,ID,IT																									16																	
AU,ID,NZ	1																								45																	
AU,IE		18	10				8							17			5			3						15			5	2		1			8			6				
AU,IE,IR																																	3									
AU,IL							4											3							6						10	3					3			14	2	
AU,IL,IN																																							9			
AU,IL,IT																																					8					
AU,IL,PS																																	20									
AU,IN				2	36				2	21	44	8		14			5	5	21	3	35	1					5	2	11	2	4		3	42	17	11	1	23	30	26	2	20
AU,IN,IT,TR																																		2								
AU,IN,JP																					13														3							
AU,IN,KR																													4													
AU,IN,MX																																	7				1	6	1			
AU,IN,MY																																									8	
AU,IN,PT																																					15	22			4	
AU,IN,SA																																	4									5
AU,IN,US																										6													4	3		
AU,IQ																																									7	
AU,IQ,TN,TR																																										
AU,IR																							3		9				24	4	38	15	18	8	10	20	37	9	41	22	20	10
AU,IR,IT																																									6	
AU,IR,PL,RU																																							3			
AU,IR,TR,US																																								15		
AU,IR,US																																					18		3			
AU,IS																																								8		
AU,IT								8	8			6	33	10				18	2	31	28	40	18	34	93	38	140	12	8	20	21	27	32	55	32	17	90	36	19	37	33	59
AU,IT,JP																																					3					
AU,IT,NL																																				5						
AU,IT,NL,UA																					1																					
